Sample,Transect.ID,Individual ID,Year,Site,VisitNumber,Lat,Long,Collected,Transect,NetorPan,DateCollected,Type,SpeciesCode,GenusCode,Sex,RNA conc.,Virus_Type,Virus,Richness,EstRich_Asyp,EstRich_46,EstRich_183,EstRich_338,Abundance,Diversity,APME_ABUND,BOIM_ABUND,LASI_ABUND,PEPR_ABUND
605,BC15B2,BC15B2N-16,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,APIS,APME,APIS,F,31,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
618,BC15C2,BC15C2N-29,2015,BC,1,42.35073,-83.8556,squash,C,Net,7/24/2015,APIS,APME,APIS,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1268,BC15A3,BC15A3N-14,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,APIS,APME,APIS,F,11.8,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1291,BC15B3,BC15B3N-37,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,APIS,APME,APIS,F,27.6,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1307,BC15C3,BC15C3N-53,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1308,BC15C3,BC15C3N-54,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,63,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
681,BC15B2,BC15B2P-92,2015,BC,1,42.35073,-83.8556,squash,B,Pan,7/24/2015,NON,LASI,LASI,F,14.7,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
729,BC15C2,BC15C2P-140,2015,BC,1,42.35073,-83.8556,squash,C,Pan,7/24/2015,NON,LASI,LASI,F,19.3,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1262,BC15A3,BC15A3N-8,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,PEPR,PEPO,M,60,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1300,BC15C3,BC15C3N-46,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,PEPR,PEPO,M,58,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1352,BC15B3,BC15B3P-98,2015,BC,2,42.35073,-83.8556,squash,B,Pan,8/2/2015,NON,LASI,LASI,F,15.1,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1353,BC15B3,BC15B3P-99,2015,BC,2,42.35073,-83.8556,squash,B,Pan,8/2/2015,NON,LASI,LASI,F,62,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
